Relative Time;m/z 35.00 ch3;37/21
245.09;408.5155435;7.314725012
245.847;404.5927586;6.979980517
246.604;415.8158496;7.297446517
247.36;403.1418456;6.917774781
248.117;404.5990905;6.868493783
248.873;410.2585385;7.156154916
249.63;429.5985507;7.527351693
250.386;413.2974504;7.54532736
251.143;410.0811817;7.070955772
251.899;425.3438675;6.978538266
252.655;419.9246733;7.411583578
253.412;407.2964635;7.211443863
254.169;409.7405873;6.82616848
254.925;425.2186973;7.40891495
255.682;420.4118595;7.075949098
256.438;442.5082678;7.3971654
257.195;417.4171014;7.445705103
257.952;423.5638108;7.253548306
258.71;431.8229856;7.535872465
259.466;427.5842409;7.470726368
260.223;435.6578144;7.206709545
260.98;433.2314855;7.379495009
261.737;427.8613463;6.863802259
262.493;447.3147963;7.598579478
263.249;436.1803868;7.222999416
264.006;432.7754559;7.642379807
264.762;449.948185;7.470777003
265.519;432.2062521;6.668139799
266.275;438.7226569;7.23686775
267.032;446.4812025;7.246340865
267.788;432.1998106;6.952980994
268.544;442.0560934;6.966417695
269.301;441.2088786;7.064288703
270.057;452.3453702;7.573422086
270.813;447.3356775;7.142249749
271.569;449.1251744;7.347873115
272.325;453.5779343;7.881539129
273.084;442.5252447;7.134091973
273.84;454.3176548;6.875577224
274.597;461.1236395;7.385826065
275.353;452.3854344;7.22030719
276.109;454.4837654;7.492205583
276.866;479.1258578;7.427816478
277.623;461.2317127;7.401987583
278.38;467.8071586;7.690611761
279.136;465.151659;6.925493671
279.892;471.9111592;7.440208452
280.649;453.5901391;7.166477139
281.405;475.0462819;7.461569264
282.162;466.3512551;7.123007966
282.919;462.5080104;7.509877471
283.675;471.9609394;7.484223678
284.432;457.1793421;7.029294601
285.188;469.6167858;7.186000068
285.945;472.7512891;7.540280504
286.701;476.3584;7.205579751
287.457;457.3685391;7.062662004
288.214;451.0866621;7.051254487
288.97;477.3432889;7.13970115
289.727;456.4143677;6.837414268
290.483;458.1037641;6.857902706
291.239;464.2179164;7.095262909
291.995;487.0358899;7.563616537
292.753;477.9488763;7.142883922
293.511;493.7728984;7.48861635
294.268;472.7051866;6.992043448
295.025;478.0861413;7.425552564
295.782;489.8703088;7.270326427
296.538;480.5315871;7.212782858
297.295;482.005597;7.209022926
298.051;501.2147453;7.498883379
298.807;493.3932271;7.5650123
299.564;500.1167284;7.348992569
300.321;488.7883743;7.809300293
301.077;491.23014;6.88832542
301.833;496.5486913;7.580676155
302.59;491.3534546;7.28436011
303.346;480.5634748;7.054256352
304.103;489.5747857;7.249362459
304.859;517.1143248;7.712358189
305.485;494.780961;6.961717381
306.372;492.5446238;6.899722406
307.129;486.2100538;6.821596435
307.885;491.1381494;7.407271928
308.642;502.3755897;7.498904872
309.398;492.5430617;6.88342401
310.154;512.171831;7.618862456
310.911;497.7059676;7.081367152
311.667;497.1181058;7.269561791
312.425;512.25752;7.327302352
313.182;535.1395007;7.683700854
313.938;502.1082441;7.465693855
314.694;504.3122499;7.277562847
315.451;514.4364202;7.046401113
316.207;529.9071423;7.455065194
316.964;500.1648992;6.934235521
317.721;517.3361781;7.549758591
318.477;503.1890639;7.152835628
319.234;512.5189457;7.203382515
319.991;500.1587435;7.094005498
320.748;501.196861;7.631490952
321.504;512.0608453;7.226435099
322.13;525.4455229;7.062527302
323.017;522.645434;7.388593979
323.774;511.4204683;7.417971391
324.53;520.0808711;6.956743033
325.286;502.6016714;7.118231368
326.043;530.757693;7.739754902
326.8;519.124327;7.351020355
327.556;540.2346456;7.725842782
328.312;541.9008062;7.533769276
329.069;533.8014006;7.748105053
329.825;529.2845557;7.29404084
330.582;526.8035416;7.231343164
331.339;542.6331977;7.566623295
332.095;536.0929643;7.497785878
332.851;538.6182497;7.124698563
333.608;523.0965976;7.212070434
334.364;542.7347336;7.45012087
335.121;545.7005794;7.545322318
335.877;547.5939332;7.793410802
336.634;536.1833241;7.497791141
337.39;559.5728116;7.309488123
338.147;529.1630851;7.119782144
338.903;536.9938949;7.493328146
339.659;541.0932038;7.331876328
340.415;538.8991499;7.294408606
341.172;528.6463385;7.159711741
341.93;543.5718262;6.641715803
342.686;541.3193411;7.337548052
343.443;551.2435775;7.53514401
344.199;534.5477962;7.399231623
344.955;565.8603223;7.837869322
345.713;520.9975034;6.852748998
346.469;545.6367777;7.610408095
347.225;540.9957523;7.122522554
347.982;529.5116907;7.38713722
348.74;526.0274856;6.946945293
349.496;549.1134508;7.190988414
350.253;541.5265759;7.254932578
351.009;537.6681152;7.171394803
351.765;563.8721887;7.071455296
352.522;550.981289;7.187938038
353.279;541.9419918;6.962053363
354.035;554.3112833;7.304490481
354.792;558.5369351;7.220072253
355.55;564.1391321;7.272342777
356.306;557.9709772;7.344129107
357.062;529.0388333;7.148983845
357.819;541.8789473;7.303006911
358.575;554.048059;7.182301266
359.332;552.9739763;7.371253379
360.089;537.8238466;7.284303498
360.845;535.5768311;7.015084453
361.603;537.7503605;7.591794006
362.36;529.6502596;7.513492484
363.116;504.5754641;7.05987817
363.872;515.9923819;7.577140503
364.629;480.400635;7.181263846
365.385;503.4437398;7.11889595
366.143;504.2814334;7.667593635
366.901;489.4572547;7.253613735
367.658;507.7114208;7.322282407
368.414;485.8114837;7.464061316
369.172;459.9964595;7.192932342
369.93;469.0314399;7.561117854
370.686;467.6176031;7.477545993
371.442;447.77005;7.380874309
372.199;457.4995041;7.147293644
372.955;440.6309567;7.117025105
373.711;447.1062858;7.024264967
374.468;436.3555855;6.939964316
375.224;443.1687904;7.120277295
375.98;438.1472843;7.135751542
376.737;436.6006826;7.264222732
377.493;439.6282797;7.568474776
378.25;418.424102;6.914966727
379.006;429.0381137;7.440104323
379.762;406.71669;6.953184396
380.52;410.4009693;7.080258047
381.277;396.8280448;7.176033653
382.033;384.571574;7.019418442
382.789;404.5136922;7.076744775
383.545;411.0654414;7.032548971
384.302;404.5928676;7.397714851
385.058;400.3542706;7.069142538
385.815;400.5128194;7.012496144
386.571;405.4636845;7.54651514
387.328;406.2802589;7.151926927
388.084;403.0514968;7.186682131
388.841;386.2574514;6.953843101
389.598;401.8207572;7.364121877
390.354;394.8764536;7.163115991
391.111;390.8015705;7.061216037
391.867;369.0887619;7.007833794
392.623;379.9940482;6.844452739
393.38;383.8172508;7.090608883
394.137;396.061727;7.454234424
394.893;384.5644919;7.211524033
395.65;366.4863108;6.87366069
396.406;375.7138347;6.970947415
397.163;365.1785911;7.092038754
397.92;371.4113571;7.330082886
398.545;365.5318949;6.966705295
399.433;365.3461242;7.04289631
400.189;365.535846;7.326586522
400.945;376.9388168;7.260427634
401.702;373.3513904;6.966722117
402.458;382.9772834;7.582902743
403.215;368.0857877;7.267080514
403.971;366.1538265;7.183506139
404.727;372.2118486;7.304062634
405.484;360.1068711;7.163554468
406.24;372.2654444;7.204666483
406.997;356.5522576;7.325401415
407.753;373.6864462;7.019171962
408.51;364.0728979;7.331563697
409.266;352.2439544;7.319709051
410.022;369.6767317;7.334892376
410.779;371.1493516;7.24752566
411.535;356.2800975;7.340309923
412.292;373.3967964;7.777808622
413.049;362.9684495;7.158815119
413.805;340.0882413;6.928787129
414.562;354.6654122;7.212496354
415.319;339.0429157;6.958611021
416.075;355.1982827;7.11934948
416.832;360.5414868;7.512581935
417.588;339.9801256;7.068458559
418.345;342.2130833;6.804325824
419.102;341.3637134;7.167408131
419.858;349.9822791;7.134013326
420.615;357.351516;7.131359732
421.371;350.4047383;7.102452902
422.127;343.9802786;6.992908163
422.883;351.6483837;7.167657707
423.64;336.7955411;6.743905806
424.396;340.8225169;7.134608052
425.021;332.9315955;7.208018585
425.909;347.7458414;6.988986659
426.665;346.9019329;7.212094432
427.421;328.0214256;6.872877803
428.177;338.8061379;6.792976739
428.934;351.9410317;7.116200589
429.69;344.2992383;7.625370864
430.447;335.227627;7.140316789
431.203;337.0424972;6.963053373
431.961;330.2798035;7.276430365
432.717;338.2776476;6.99014282
433.473;331.8274395;6.811618817
434.23;347.8727147;7.429395485
434.986;331.276945;6.931846038
435.743;342.1471769;7.060456109
436.499;342.6887185;6.77393134
437.256;320.2126527;6.565334725
438.012;337.3755765;7.447900952
438.768;330.1385907;6.957319009
439.525;330.335544;7.214378039
440.282;336.7223544;7.411103857
441.038;311.7021252;7.274724103
441.794;321.6999884;7.074068444
442.551;334.2635518;7.339396178
443.308;335.6476842;7.069774815
444.064;319.3531233;7.027172502
444.82;316.4583896;7.010919675
445.577;338.3177288;7.147479811
446.333;322.6832275;7.299851569
447.09;322.7056798;6.77736153
447.846;320.8035413;7.233320004
448.603;306.1639413;6.750667084
449.359;340.6425705;7.171652624
450.116;334.7210433;7.390732441
450.872;317.3229983;7.119642678
451.628;317.7050808;7.042156246
452.384;317.6061989;7.323784463
453.141;317.3673574;6.771928188
453.897;313.0399994;7.169259956
454.653;314.6292399;7.095810914
455.41;302.8650428;6.914409826
456.166;322.1833087;7.163599324
456.923;320.4365297;6.873907859
457.679;323.8542524;7.590447269
458.435;318.2201982;7.2715356
459.193;316.9275102;7.030993015
459.95;321.5159669;7.306842165
460.706;313.4795912;7.313260592
461.462;309.0143859;7.089580496
462.22;313.649193;7.00315284
462.976;309.5835496;7.43167338
463.733;304.0008059;7.291511586
464.489;309.9667875;7.254582163
465.245;312.7704547;6.978823432
466.002;297.7037371;7.132472281
466.758;326.2745895;7.235650672
467.515;304.615761;6.826865306
468.272;306.9299485;6.952449944
469.028;306.7929346;7.130076387
469.784;305.757333;6.979332732
470.541;304.5438625;7.083731149
471.297;302.0946525;6.79827432
472.054;299.331285;6.81662187
472.81;291.7898146;7.088578846
473.566;298.3037191;6.85967684
474.323;305.6185134;7.359886301
475.079;302.3975181;7.051024854
475.836;310.0297341;7.231768056
476.592;316.1980599;7.212095076
477.348;297.9957864;7.153115777
478.105;294.5559278;6.87692959
478.861;299.9419602;7.138395719
479.617;294.5898039;6.928473474
480.374;312.0031461;7.554151547
481.131;303.1341596;7.211857242
481.887;294.1223171;7.216112599
482.643;299.2587779;7.160686995
483.401;305.3562467;7.140317567
484.157;283.0573702;6.770769628
484.914;288.3833163;6.968412526
485.67;281.5405271;6.697897406
486.427;297.9508181;7.277610108
487.183;295.9231763;6.941305861
487.94;288.3725974;7.274343798
488.697;287.3340086;6.49087793
489.454;304.1695746;6.985021887
490.21;287.5225678;6.837851601
490.966;296.5321412;6.885779402
491.722;287.5470117;6.898817112
492.479;289.607549;6.805640586
493.235;299.2792366;7.39931733
493.992;296.1965235;7.460862155
494.748;292.7344911;7.044365532
495.505;287.2324446;6.618633759
496.261;298.9939428;7.493202688
497.017;300.4766116;7.330631159
497.774;288.370779;7.240332466
498.532;288.678986;7.069673837
499.288;284.8988268;7.103899037
500.044;294.0276524;7.37039802
500.8;307.6887447;7.63365587
501.557;287.2424629;7.184238417
502.313;282.6424025;7.244925882
503.069;279.5888027;7.247936073
503.826;288.3078542;7.114457086
504.583;306.1353317;7.811943804
505.34;278.8398573;7.314314305
506.096;275.2419456;7.147238932
506.853;287.9730864;7.092478275
507.609;282.8791336;7.191388022
508.366;281.0867719;6.757363757
509.122;288.0754196;7.2165698
509.878;275.8784795;7.021120747
510.635;281.700399;7.35521832
511.392;279.9985065;7.067500522
512.149;270.3954477;6.989601727
512.905;276.7284044;7.418383616
513.661;277.7919489;7.056763451
514.417;273.8226426;6.759243659
515.174;276.4079748;7.210059943
515.93;282.1274756;7.410703378
516.687;271.794071;7.200556929
517.443;280.5576225;6.964157602
518.2;270.5655188;7.203381273
518.957;289.7944967;7.213821253
519.713;283.3922606;7.428730074
520.47;267.5693254;6.84601202
521.226;271.0867822;7.02177705
521.982;267.5790881;6.958811431
522.739;271.854583;6.748245417
523.495;276.2171605;7.366079551
524.252;266.2835112;7.198246095
525.008;259.6072594;7.000459246
525.765;271.0860301;7.21055192
526.521;261.4999922;6.736195546
527.277;280.9787535;7.336110287
528.033;281.7488146;7.542518557
528.79;277.4869522;7.668795688
529.546;261.7698487;6.971034888
530.302;278.9550832;7.347616444
530.928;266.7788056;6.988891672
531.815;261.8096124;7.204803757
532.571;272.4399319;7.304298144
533.328;269.8179501;7.434536992
534.084;261.6197156;6.889774134
534.841;264.1455116;7.029553506
535.597;286.102154;7.849089075
536.354;269.7477852;7.327731513
537.11;274.9199187;6.95635314
537.866;270.0930098;7.387215749
538.623;272.5185484;7.396049514
539.38;269.4362019;7.107651019
540.136;251.5572517;6.822897644
540.892;274.0616088;7.452467017
541.649;259.3305815;7.358270542
542.405;260.9515852;7.560898114
543.161;255.1134138;7.196898075
543.918;256.6230927;7.103201744
544.674;257.346066;6.705178329
545.432;274.8172658;6.977844214
546.189;265.4554941;7.308756848
546.945;259.9357719;7.203714829
547.702;263.4648603;7.207155447
548.459;260.3966092;7.000029427
549.215;257.7239736;7.010246534
549.972;251.8802535;7.000460218
550.728;271.2007054;7.188966256
551.485;255.8184391;7.166107544
552.241;262.9709666;7.266343091
552.997;254.6005187;7.180429341
553.754;257.2831733;7.568444032
554.51;256.4949811;6.798252833
555.266;256.7023084;7.118297233
556.023;253.6222385;7.023939457
556.779;249.8999852;7.142885493
557.404;255.3461642;7.118068192
558.292;251.482149;6.95596491
559.049;247.4285076;7.11977918
559.805;251.9130261;6.882350856
560.562;253.008798;7.098520705
561.318;249.6604881;7.171742653
562.075;244.8458142;6.998735474
562.832;248.6984485;7.009329954
563.588;255.57406;7.283977555
564.344;265.6901468;7.097833138
565.101;246.5751577;7.095794526
565.857;247.1465969;7.083918378
566.613;248.1080217;6.790257807
567.37;246.6832616;6.973825455
568.126;243.5904955;6.774776631
568.882;253.0164268;7.00846089
569.639;234.695094;6.600359403
570.395;247.4345823;7.856190703
571.152;244.9019181;7.28937237
571.909;254.138607;7.254125705
572.665;259.9726689;7.301036751
573.423;241.4509091;6.813836174
574.179;235.4209392;6.966748167
574.936;237.9929059;6.962563328
575.692;247.990224;7.342028382
576.449;239.9093136;7.741968589
577.205;251.4892529;7.05078237
577.962;244.3362972;7.208398996
578.718;246.8742313;7.538491981
579.475;242.0727702;7.613254772
580.232;237.7613605;7.006678764
580.989;247.035245;7.428345113
581.745;245.4052985;7.020044586
582.501;234.5915731;7.01810027
583.257;237.3127536;6.968667945
584.013;234.2145148;6.994468432
584.77;248.2827206;7.506729713
585.526;238.418089;7.241104332
586.282;243.9643382;7.283318275
587.038;238.9164533;6.894601864
587.795;239.2600695;7.741966733
588.551;243.7763569;6.969454611
589.307;238.4904579;7.317102087
590.064;238.5903811;7.780864343
590.82;236.3774889;6.985354883
591.577;235.9227919;6.926200054
592.333;239.2023835;7.302270851
593.089;233.5191272;7.240187663
593.846;237.2347844;7.323283105
594.602;238.4558149;7.346692322
595.359;240.5966914;7.379902855
596.115;231.6405649;7.076683108
596.874;228.4395238;6.870220579
597.63;237.1395191;7.25180167
598.386;234.6422623;7.379824797
599.143;238.5497538;7.477216864
599.901;227.3903821;7.023059875
600.527;229.9186597;7.196330379
601.414;230.8088876;7.170570031
602.17;239.2799867;7.467800899
602.927;227.9198314;6.738205284
603.684;216.2497518;6.648164205
604.44;226.3519783;7.085010927
605.197;222.0212704;7.073617723
605.953;224.4846825;6.872546187
606.709;229.191872;7.37990084
607.465;233.2145862;7.128788842
608.222;227.5343953;7.072024715
608.978;237.9497992;7.247653785
609.734;220.1504759;7.021766144
610.491;231.081575;7.095503703
611.247;232.5351483;7.487694508
612.004;220.4484054;6.764858069
612.76;229.0305119;7.061180775
613.517;230.7796168;7.277235853
614.273;228.7361538;6.832848912
615.03;225.033593;7.168673093
