H2S concentration in g/m^3,DMS concentration in g/m^3,mm concentration in g/m^3,Time in h
2.3699028193780435e-05,3.937397881497509e-05,1.301756940121832e-05,0.14361694444444442
2.7208523222002628e-05,3.8234403278016206e-05,1.3152425654770429e-05,0.1441036111111111
3.4733402221307906e-06,3.717133849013556e-05,1.369033747603437e-05,0.14459027777777778
6.827512795028137e-06,3.336695908965974e-05,1.3265747569171852e-05,0.14507694444444447
1.3053309519031236e-05,3.4247569399871816e-05,1.2941654457861968e-05,0.14556388888888888
2.6940684093877377e-05,4.362868801406101e-05,1.3810434188687848e-05,0.14605055555555557
3.6642831275714754e-06,3.263428495182851e-05,1.422907985468811e-05,0.1465372222222222
2.0424872200850226e-05,3.1900815580772605e-05,1.1450267643047194e-05,0.14702416666666668
2.401477263546087e-05,3.6625160861350034e-05,1.3925527831383215e-05,0.14751083333333334
6.911354715849653e-06,3.182179088831048e-05,1.1714649090536086e-05,0.14799777777777778
1.0455327269899339e-05,3.530851277415718e-05,9.129049630124593e-06,0.14848444444444445
1.0309807048837817e-05,3.2924543870752544e-05,1.2606343409850401e-05,0.1489713888888889
1.4797968826702254e-05,3.842441498518795e-05,1.2443700252951323e-05,0.14945805555555555
6.601872376722565e-06,3.384231869155591e-05,1.0669339414639992e-05,0.14994472222222224
3.476612677622899e-06,3.462301125683056e-05,1.3654735799648973e-05,0.15043166666666666
1.1030280987817689e-05,3.529080593789931e-05,1.1692984142147244e-05,0.15091833333333335
2.401314351713461e-05,3.004325212698336e-05,1.4494619321664005e-05,0.15140527777777776
2.3759716792178195e-05,2.912960545346583e-05,1.0897288918926179e-05,0.15189194444444445
6.9367064753766475e-06,3.070885988714643e-05,1.0541825526361162e-05,0.15237888888888887
2.1039971842545396e-05,3.151472348871995e-05,7.610319694152205e-06,0.15286555555555556
6.615563373533414e-06,3.057504614766584e-05,1.214878133633814e-05,0.1533525
1.336474661175481e-05,3.0253435405861945e-05,8.095985864230651e-06,0.15383916666666667
1.0626659761214522e-05,3.436327467962798e-05,1.2499137875810036e-05,0.1543261111111111
1.0039016055556353e-05,3.380551859148094e-05,9.780135112805834e-06,0.15481277777777777
7.4880692582493305e-06,2.9993110115908005e-05,1.0864954335027749e-05,0.15529972222222221
1.0686713706426423e-05,2.6689212966777007e-05,1.2147285102180551e-05,0.15578666666666666
6.815030020276902e-06,2.81833776077559e-05,1.1244048130423147e-05,0.15627333333333332
1.0562079602771414e-05,3.25770806192084e-05,1.0692291136835984e-05,0.15676027777777776
2.5530821696749506e-05,3.2568885075697354e-05,9.286127882451358e-06,0.15724694444444445
3.322131767125561e-06,2.8080609007035525e-05,1.012204450311781e-05,0.15773361111111112
1.3703497207122871e-05,3.350535119678947e-05,8.956051960095411e-06,0.15822055555555556
1.0373428706159292e-05,2.684929221843422e-05,1.0286256151412665e-05,0.15870722222222222
9.88764467227339e-06,2.550990288546349e-05,9.898364483840053e-06,0.15919444444444444
2.880788031270679e-05,3.119935651927232e-05,1.0814309842963354e-05,0.1596811111111111
7.01555333055271e-06,3.3357924597264026e-05,9.675553035126972e-06,0.1601677777777778
9.446797096448558e-06,2.3904519211514772e-05,8.472632153800212e-06,0.1606547222222222
1.0101610836569611e-05,2.768576341489262e-05,8.741852688032475e-06,0.1611413888888889
6.841197495454397e-06,2.502908230579215e-05,9.530948283555418e-06,0.16162805555555557
0.0,2.8697931874204466e-05,8.917619492537254e-06,0.162115
1.3840440018864025e-05,2.8863478956677807e-05,8.408952316467703e-06,0.16260194444444442
1.710954554584236e-05,2.7063198285496083e-05,8.110405965046144e-06,0.16308861111111111
