model,model time(h)
0.010937102204974203,0.7123287671232876
0.010407970705217814,0.7168949771689498
0.009905192614350019,0.7214611872146118
0.009427488379229423,0.7260273972602739
0.008973578446714633,0.730593607305936
0.008542183263664252,0.7351598173515981
0.008132837927636062,0.7397260273972602
0.0077444643539917694,0.7442922374429224
0.007374643105023414,0.7488584474885844
0.00702235964491217,0.7534246575342465
0.00668697259517817,0.7579908675799086
0.006367840577341526,0.7625570776255708
0.006064322212922383,0.7671232876712328
0.005775776123440841,0.7716894977168949
0.005501560930417024,0.776255707762557
0.0052410352553710505,0.7808219178082192
0.004993557719823062,0.7853881278538812
0.004758486945293157,0.7899543378995433
0.0045351815533014655,0.7945205479452054
0.004323000165368102,0.7990867579908676
0.004121301403013204,0.8036529680365295
0.003929443887756878,0.8082191780821917
